Container ID;Size Type;Berat (Ton);Urutan Pelabuhan;Rute Pelabuhan;Tipe Cargo
MSKU0001;20FT;26;3;Sorong;DRY
MSKU0002;20FT;26;3;Sorong;DRY
MSKU0003;20FT;24;3;Sorong;DRY
MSKU0004;40FT;27;3;Sorong;DRY
MSKU0005;40FT;19;2;Tanjung Perak;DRY
MSKU0006;40FT;27;3;Sorong;DRY
MSKU0007;20FT;27;3;Sorong;DRY
MSKU0008;40FT;28;3;Sorong;DRY
MSKU0009;20FT;21;2;Tanjung Perak;DG
MSKU0010;40FT;24;3;Sorong;DRY
MSKU0011;20FT;21;2;Tanjung Perak;DRY
MSKU0012;20FT;18;2;Tanjung Perak;DRY
MSKU0013;20FT;12;1;Tanjung Priok;DG
MSKU0014;40FT;21;2;Tanjung Perak;DG
MSKU0015;20FT;27;3;Sorong;REEFER
MSKU0016;20FT;15;1;Tanjung Priok;REEFER
MSKU0017;20FT;14;1;Tanjung Priok;DRY
MSKU0018;20FT;28;3;Sorong;DRY
MSKU0019;20FT;26;3;Sorong;DRY
MSKU0020;20FT;25;3;Sorong;DRY
MSKU0021;20FT;27;3;Sorong;DRY
MSKU0022;40FT;18;2;Tanjung Perak;DRY
MSKU0023;40FT;24;3;Sorong;DRY
MSKU0024;40FT;25;3;Sorong;DRY
MSKU0025;40FT;22;2;Tanjung Perak;DRY
MSKU0026;40FT;18;2;Tanjung Perak;DRY
MSKU0027;20FT;27;3;Sorong;DRY
MSKU0028;20FT;13;1;Tanjung Priok;DG
MSKU0029;40FT;28;3;Sorong;DRY
MSKU0030;20FT;12;1;Tanjung Priok;DRY
MSKU0031;40FT;27;3;Sorong;DRY
MSKU0032;20FT;12;1;Tanjung Priok;DRY
MSKU0033;20FT;27;3;Sorong;DG
MSKU0034;40FT;26;3;Sorong;DRY
MSKU0035;20FT;20;2;Tanjung Perak;DRY
MSKU0036;20FT;15;1;Tanjung Priok;REEFER
MSKU0037;20FT;26;3;Sorong;REEFER
MSKU0038;20FT;27;3;Sorong;DRY
MSKU0039;40FT;16;1;Tanjung Priok;DRY
MSKU0040;40FT;24;3;Sorong;DG
MSKU0041;40FT;22;2;Tanjung Perak;REEFER
MSKU0042;40FT;18;2;Tanjung Perak;DRY
MSKU0043;20FT;13;1;Tanjung Priok;DRY
MSKU0044;20FT;13;1;Tanjung Priok;DRY
MSKU0045;40FT;13;1;Tanjung Priok;REEFER
MSKU0046;20FT;22;2;Tanjung Perak;DRY
MSKU0047;40FT;28;3;Sorong;DRY
MSKU0048;40FT;22;2;Tanjung Perak;DG
MSKU0049;20FT;28;3;Sorong;DRY
MSKU0050;20FT;27;3;Sorong;REEFER
MSKU0051;20FT;19;2;Tanjung Perak;DRY
MSKU0052;40FT;27;3;Sorong;DRY
MSKU0053;20FT;13;1;Tanjung Priok;DRY
MSKU0054;20FT;14;1;Tanjung Priok;DRY
MSKU0055;40FT;15;1;Tanjung Priok;DRY
MSKU0056;20FT;21;2;Tanjung Perak;DRY
MSKU0057;40FT;15;1;Tanjung Priok;DRY
MSKU0058;40FT;18;2;Tanjung Perak;DRY
MSKU0059;40FT;26;3;Sorong;DRY
MSKU0060;20FT;27;3;Sorong;DRY
