Container ID;Size Type;Berat (Ton);Urutan Pelabuhan;Rute Pelabuhan;Tipe Cargo
MSKU0001;20FT;33;3;Sorong;DRY
MSKU0002;20FT;35;3;Sorong;DRY
MSKU0003;20FT;33;2;Tanjung Perak;DRY
MSKU0004;20FT;35;3;Sorong;DRY
MSKU0005;20FT;33;2;Tanjung Perak;DRY
MSKU0006;20FT;35;3;Sorong;DRY
MSKU0007;20FT;5;1;Tanjung Priok;DRY
MSKU0008;20FT;5;2;Tanjung Perak;DRY
MSKU0009;40FT;3;1;Tanjung Priok;DRY
MSKU0010;20FT;5;1;Tanjung Priok;DRY
MSKU0011;20FT;3;2;Tanjung Perak;DRY
MSKU0012;20FT;5;2;Tanjung Perak;DRY
MSKU0013;40FT;33;3;Sorong;DRY
MSKU0014;20FT;33;2;Tanjung Perak;DRY
MSKU0015;40FT;33;3;Sorong;DRY
MSKU0016;40FT;35;1;Tanjung Priok;DRY
MSKU0017;40FT;35;1;Tanjung Priok;DRY
MSKU0018;20FT;35;2;Tanjung Perak;DRY
MSKU0019;20FT;35;2;Tanjung Perak;DRY
MSKU0020;20FT;35;3;Sorong;DRY
MSKU0021;40FT;3;3;Sorong;DRY
MSKU0022;20FT;5;3;Sorong;DRY
MSKU0023;20FT;3;1;Tanjung Priok;DRY
MSKU0024;40FT;5;2;Tanjung Perak;DRY
MSKU0025;20FT;35;1;Tanjung Priok;DRY
MSKU0026;40FT;35;2;Tanjung Perak;DRY
MSKU0027;20FT;33;1;Tanjung Priok;DRY
MSKU0028;20FT;35;2;Tanjung Perak;DRY
MSKU0029;20FT;3;2;Tanjung Perak;DRY
MSKU0030;20FT;35;3;Sorong;DRY
MSKU0031;20FT;35;1;Tanjung Priok;DRY
MSKU0032;20FT;33;2;Tanjung Perak;DRY
MSKU0033;40FT;35;3;Sorong;DRY
MSKU0034;20FT;5;1;Tanjung Priok;DRY
MSKU0035;20FT;33;3;Sorong;DRY
MSKU0036;20FT;35;1;Tanjung Priok;DRY
MSKU0037;40FT;35;3;Sorong;DRY
MSKU0038;20FT;5;2;Tanjung Perak;DRY
MSKU0039;20FT;33;1;Tanjung Priok;DRY
MSKU0040;40FT;3;2;Tanjung Perak;DRY
MSKU0041;20FT;3;3;Sorong;DRY
MSKU0042;40FT;35;3;Sorong;DRY
MSKU0043;40FT;33;3;Sorong;DRY
MSKU0044;40FT;35;2;Tanjung Perak;DRY
MSKU0045;40FT;33;2;Tanjung Perak;DRY
MSKU0046;20FT;3;2;Tanjung Perak;DRY
MSKU0047;20FT;35;1;Tanjung Priok;DRY
MSKU0048;20FT;3;3;Sorong;DRY
MSKU0049;20FT;33;3;Sorong;DRY
MSKU0050;20FT;5;2;Tanjung Perak;DRY
