Container ID;Size Type;Berat (Ton);Urutan Pelabuhan;Rute Pelabuhan;Tipe Cargo
MSKU0001;40FT;22;2;Soekarno-Hatta;DRY
MSKU0002;20FT;22;2;Soekarno-Hatta;DRY
MSKU0003;40FT;21;2;Soekarno-Hatta;DRY
MSKU0004;40FT;22;2;Soekarno-Hatta;DRY
MSKU0005;20FT;27;3;Yos Sudarso;DRY
MSKU0006;40FT;14;1;Tanjung Perak;DG
MSKU0007;40FT;18;2;Soekarno-Hatta;DRY
MSKU0008;40FT;25;3;Yos Sudarso;DRY
MSKU0009;20FT;25;3;Yos Sudarso;DRY
MSKU0010;20FT;21;2;Soekarno-Hatta;DRY
MSKU0011;20FT;14;1;Tanjung Perak;DRY
MSKU0012;40FT;27;3;Yos Sudarso;DG
MSKU0013;40FT;22;2;Soekarno-Hatta;DRY
MSKU0014;20FT;28;3;Yos Sudarso;DRY
MSKU0015;40FT;22;2;Soekarno-Hatta;DRY
MSKU0016;20FT;26;3;Yos Sudarso;DG
MSKU0017;20FT;19;2;Soekarno-Hatta;DRY
MSKU0018;40FT;22;2;Soekarno-Hatta;REEFER
MSKU0019;20FT;26;3;Yos Sudarso;DRY
MSKU0020;40FT;12;1;Tanjung Perak;DRY
MSKU0021;20FT;24;3;Yos Sudarso;DRY
MSKU0022;40FT;26;3;Yos Sudarso;DRY
MSKU0023;20FT;27;3;Yos Sudarso;DRY
MSKU0024;20FT;27;3;Yos Sudarso;DRY
MSKU0025;20FT;24;3;Yos Sudarso;REEFER
MSKU0026;40FT;28;3;Yos Sudarso;REEFER
MSKU0027;40FT;16;1;Tanjung Perak;DRY
MSKU0028;40FT;14;1;Tanjung Perak;DRY
MSKU0029;40FT;16;1;Tanjung Perak;DRY
MSKU0030;20FT;22;2;Soekarno-Hatta;DRY
MSKU0031;40FT;15;1;Tanjung Perak;DRY
MSKU0032;40FT;26;3;Yos Sudarso;DRY
MSKU0033;40FT;12;1;Tanjung Perak;DG
MSKU0034;20FT;21;2;Soekarno-Hatta;DG
MSKU0035;20FT;19;2;Soekarno-Hatta;DRY
MSKU0036;20FT;26;3;Yos Sudarso;DG
MSKU0037;40FT;18;2;Soekarno-Hatta;DRY
MSKU0038;20FT;24;3;Yos Sudarso;DRY
MSKU0039;20FT;27;3;Yos Sudarso;DG
MSKU0040;40FT;16;1;Tanjung Perak;DRY
MSKU0041;20FT;14;1;Tanjung Perak;DRY
MSKU0042;20FT;20;2;Soekarno-Hatta;DG
MSKU0043;20FT;26;3;Yos Sudarso;DRY
MSKU0044;40FT;25;3;Yos Sudarso;REEFER
MSKU0045;20FT;20;2;Soekarno-Hatta;DRY
MSKU0046;20FT;22;2;Soekarno-Hatta;DRY
MSKU0047;40FT;25;3;Yos Sudarso;REEFER
MSKU0048;20FT;16;1;Tanjung Perak;REEFER
MSKU0049;20FT;28;3;Yos Sudarso;DRY
MSKU0050;40FT;25;3;Yos Sudarso;REEFER
MSKU0051;20FT;24;3;Yos Sudarso;REEFER
MSKU0052;40FT;25;3;Yos Sudarso;REEFER
MSKU0053;20FT;20;2;Soekarno-Hatta;REEFER
MSKU0054;20FT;27;3;Yos Sudarso;DRY
MSKU0055;20FT;22;2;Soekarno-Hatta;DRY
MSKU0056;40FT;28;3;Yos Sudarso;DRY
MSKU0057;20FT;22;2;Soekarno-Hatta;DRY
MSKU0058;40FT;27;3;Yos Sudarso;DRY
MSKU0059;20FT;26;3;Yos Sudarso;DRY
MSKU0060;40FT;24;3;Yos Sudarso;DRY
MSKU0061;20FT;19;2;Soekarno-Hatta;DRY
MSKU0062;40FT;27;3;Yos Sudarso;DRY
MSKU0063;20FT;28;3;Yos Sudarso;DRY
MSKU0064;40FT;20;2;Soekarno-Hatta;DRY
MSKU0065;40FT;28;3;Yos Sudarso;DRY
