Container ID;Size Type;Berat (Ton);Urutan Pelabuhan;Rute Pelabuhan;Tipe Cargo
MSKU0001;20FT;3;2;Soekarno-Hatta;DRY
MSKU0002;20FT;5;2;Soekarno-Hatta;DRY
MSKU0003;40FT;3;2;Soekarno-Hatta;DRY
MSKU0004;20FT;3;2;Soekarno-Hatta;DRY
MSKU0005;40FT;3;3;Yos Sudarso;DRY
MSKU0006;40FT;5;1;Tanjung Perak;DRY
MSKU0007;20FT;5;2;Soekarno-Hatta;DRY
MSKU0008;40FT;33;1;Tanjung Perak;DRY
MSKU0009;20FT;3;2;Soekarno-Hatta;DRY
MSKU0010;20FT;3;1;Tanjung Perak;DRY
MSKU0011;40FT;3;3;Yos Sudarso;DRY
MSKU0012;40FT;33;3;Yos Sudarso;DRY
MSKU0013;20FT;3;3;Yos Sudarso;DRY
MSKU0014;20FT;3;3;Yos Sudarso;DRY
MSKU0015;40FT;33;2;Soekarno-Hatta;DRY
MSKU0016;40FT;5;3;Yos Sudarso;DRY
MSKU0017;40FT;5;3;Yos Sudarso;DRY
MSKU0018;20FT;3;1;Tanjung Perak;DRY
MSKU0019;20FT;33;2;Soekarno-Hatta;DRY
MSKU0020;20FT;33;3;Yos Sudarso;DRY
MSKU0021;40FT;35;3;Yos Sudarso;DRY
MSKU0022;20FT;3;2;Soekarno-Hatta;DRY
MSKU0023;20FT;5;2;Soekarno-Hatta;DRY
MSKU0024;20FT;5;2;Soekarno-Hatta;DRY
MSKU0025;40FT;3;3;Yos Sudarso;DRY
MSKU0026;40FT;35;2;Soekarno-Hatta;DRY
MSKU0027;40FT;3;3;Yos Sudarso;DRY
MSKU0028;40FT;35;2;Soekarno-Hatta;DRY
MSKU0029;40FT;35;3;Yos Sudarso;DRY
MSKU0030;20FT;33;1;Tanjung Perak;DRY
MSKU0031;20FT;33;3;Yos Sudarso;DRY
MSKU0032;40FT;5;3;Yos Sudarso;DRY
MSKU0033;20FT;35;1;Tanjung Perak;DRY
MSKU0034;40FT;5;1;Tanjung Perak;DRY
MSKU0035;20FT;33;2;Soekarno-Hatta;DRY
MSKU0036;40FT;33;3;Yos Sudarso;DRY
MSKU0037;20FT;33;3;Yos Sudarso;DRY
MSKU0038;40FT;5;2;Soekarno-Hatta;DRY
MSKU0039;20FT;35;3;Yos Sudarso;DRY
MSKU0040;20FT;3;2;Soekarno-Hatta;DRY
MSKU0041;20FT;35;1;Tanjung Perak;DRY
MSKU0042;20FT;5;2;Soekarno-Hatta;DRY
MSKU0043;40FT;35;2;Soekarno-Hatta;DRY
MSKU0044;20FT;35;3;Yos Sudarso;DRY
MSKU0045;40FT;5;1;Tanjung Perak;DRY
MSKU0046;40FT;33;1;Tanjung Perak;DRY
MSKU0047;20FT;3;2;Soekarno-Hatta;DRY
MSKU0048;20FT;33;1;Tanjung Perak;DRY
MSKU0049;40FT;5;1;Tanjung Perak;DRY
MSKU0050;40FT;35;3;Yos Sudarso;DRY
MSKU0051;20FT;33;2;Soekarno-Hatta;DRY
MSKU0052;40FT;33;3;Yos Sudarso;DRY
MSKU0053;40FT;35;2;Soekarno-Hatta;DRY
MSKU0054;40FT;5;3;Yos Sudarso;DRY
MSKU0055;40FT;5;2;Soekarno-Hatta;DRY
MSKU0056;40FT;33;3;Yos Sudarso;DRY
MSKU0057;20FT;33;3;Yos Sudarso;DRY
MSKU0058;20FT;3;2;Soekarno-Hatta;DRY
MSKU0059;20FT;33;2;Soekarno-Hatta;DRY
MSKU0060;20FT;5;1;Tanjung Perak;DRY
MSKU0061;40FT;35;3;Yos Sudarso;DRY
MSKU0062;20FT;33;3;Yos Sudarso;DRY
MSKU0063;40FT;35;3;Yos Sudarso;DRY
MSKU0064;40FT;3;1;Tanjung Perak;DRY
MSKU0065;40FT;35;3;Yos Sudarso;DRY
MSKU0066;20FT;35;1;Tanjung Perak;DRY
MSKU0067;20FT;33;1;Tanjung Perak;DRY
MSKU0068;40FT;33;3;Yos Sudarso;DRY
MSKU0069;20FT;33;2;Soekarno-Hatta;DRY
MSKU0070;40FT;35;2;Soekarno-Hatta;DRY
MSKU0071;20FT;35;1;Tanjung Perak;DRY
MSKU0072;20FT;33;2;Soekarno-Hatta;DRY
