Container ID;Size Type;Berat (Ton);Urutan Pelabuhan;Rute Pelabuhan;Tipe Cargo
MSKU0001;20FT;24;3;Tanjung Perak;DRY
MSKU0002;40FT;22;2;Tanjung Priok;DRY
MSKU0003;20FT;25;3;Tanjung Perak;DRY
MSKU0004;40FT;20;2;Tanjung Priok;DRY
MSKU0005;20FT;14;1;Belawan;DRY
MSKU0006;40FT;22;2;Tanjung Priok;DRY
MSKU0007;20FT;26;3;Tanjung Perak;DRY
MSKU0008;40FT;27;3;Tanjung Perak;DRY
MSKU0009;20FT;27;3;Tanjung Perak;DRY
MSKU0010;20FT;26;3;Tanjung Perak;DRY
MSKU0011;40FT;25;3;Tanjung Perak;DG
MSKU0012;40FT;26;3;Tanjung Perak;DRY
MSKU0013;20FT;20;2;Tanjung Priok;DRY
MSKU0014;20FT;25;3;Tanjung Perak;DG
MSKU0015;40FT;14;1;Belawan;DRY
MSKU0016;40FT;28;3;Tanjung Perak;DRY
MSKU0017;40FT;27;3;Tanjung Perak;DRY
MSKU0018;20FT;18;2;Tanjung Priok;DRY
MSKU0019;20FT;20;2;Tanjung Priok;DRY
MSKU0020;40FT;26;3;Tanjung Perak;DRY
MSKU0021;40FT;24;3;Tanjung Perak;DRY
MSKU0022;20FT;28;3;Tanjung Perak;DRY
MSKU0023;20FT;25;3;Tanjung Perak;DRY
MSKU0024;20FT;28;3;Tanjung Perak;DRY
MSKU0025;20FT;13;1;Belawan;DRY
MSKU0026;40FT;20;2;Tanjung Priok;DRY
MSKU0027;20FT;20;2;Tanjung Priok;DRY
MSKU0028;40FT;12;1;Belawan;DG
MSKU0029;40FT;27;3;Tanjung Perak;DRY
MSKU0030;40FT;18;2;Tanjung Priok;DRY
MSKU0031;20FT;28;3;Tanjung Perak;DRY
MSKU0032;20FT;28;3;Tanjung Perak;REEFER
MSKU0033;20FT;12;1;Belawan;DRY
MSKU0034;20FT;12;1;Belawan;DRY
MSKU0035;20FT;26;3;Tanjung Perak;DRY
MSKU0036;20FT;20;2;Tanjung Priok;DRY
MSKU0037;40FT;21;2;Tanjung Priok;DRY
MSKU0038;40FT;21;2;Tanjung Priok;DRY
MSKU0039;40FT;22;2;Tanjung Priok;DRY
MSKU0040;20FT;26;3;Tanjung Perak;DRY
MSKU0041;20FT;26;3;Tanjung Perak;DRY
