Container ID;Size Type;Berat (Ton);Urutan Pelabuhan;Rute Pelabuhan;Tipe Cargo
MSKU0001;20FT;3;2;Tanjung Perak;DRY
MSKU0002;20FT;32;2;Tanjung Perak;DRY
MSKU0003;20FT;4;2;Tanjung Perak;DRY
MSKU0004;20FT;33;1;Tanjung Priok;DRY
MSKU0005;20FT;4;3;Sorong;DRY
MSKU0006;40FT;4;3;Sorong;DRY
MSKU0007;20FT;33;2;Tanjung Perak;DRY
MSKU0008;40FT;35;1;Tanjung Priok;DRY
MSKU0009;40FT;3;3;Sorong;DRY
MSKU0010;20FT;28;1;Tanjung Priok;DRY
MSKU0011;20FT;34;1;Tanjung Priok;DRY
MSKU0012;40FT;35;3;Sorong;DRY
MSKU0013;40FT;34;3;Sorong;DRY
MSKU0014;20FT;3;3;Sorong;DRY
MSKU0015;20FT;35;3;Sorong;DRY
MSKU0016;40FT;35;1;Tanjung Priok;DRY
MSKU0017;40FT;3;3;Sorong;DRY
MSKU0018;40FT;3;3;Sorong;DRY
MSKU0019;20FT;5;3;Sorong;DRY
MSKU0020;40FT;30;1;Tanjung Priok;DRY
MSKU0021;40FT;31;2;Tanjung Perak;DRY
MSKU0022;40FT;2;2;Tanjung Perak;DRY
MSKU0023;20FT;3;1;Tanjung Priok;DRY
MSKU0024;20FT;31;1;Tanjung Priok;DRY
MSKU0025;20FT;34;3;Sorong;DRY
MSKU0026;20FT;6;2;Tanjung Perak;DRY
MSKU0027;40FT;4;2;Tanjung Perak;DRY
MSKU0028;20FT;29;1;Tanjung Priok;DRY
MSKU0029;20FT;34;1;Tanjung Priok;DRY
MSKU0030;20FT;28;3;Sorong;DRY
MSKU0031;20FT;3;3;Sorong;DRY
MSKU0032;40FT;29;2;Tanjung Perak;DRY
MSKU0033;40FT;3;1;Tanjung Priok;DRY
MSKU0034;20FT;2;3;Sorong;DRY
MSKU0035;20FT;6;2;Tanjung Perak;DRY
MSKU0036;40FT;4;2;Tanjung Perak;DRY
MSKU0037;20FT;6;3;Sorong;DRY
MSKU0038;20FT;31;3;Sorong;DRY
MSKU0039;40FT;34;3;Sorong;DRY
MSKU0040;20FT;3;1;Tanjung Priok;DRY
MSKU0041;40FT;31;1;Tanjung Priok;DRY
MSKU0042;40FT;2;1;Tanjung Priok;DRY
MSKU0043;40FT;4;1;Tanjung Priok;DRY
MSKU0044;40FT;30;3;Sorong;DRY
MSKU0045;40FT;30;1;Tanjung Priok;DRY
MSKU0046;40FT;34;1;Tanjung Priok;DRY
MSKU0047;20FT;5;1;Tanjung Priok;DRY
MSKU0048;20FT;32;1;Tanjung Priok;DRY
MSKU0049;40FT;28;1;Tanjung Priok;DRY
MSKU0050;20FT;28;1;Tanjung Priok;DRY
MSKU0051;20FT;5;1;Tanjung Priok;DRY
MSKU0052;40FT;34;2;Tanjung Perak;DRY
MSKU0053;40FT;3;2;Tanjung Perak;DRY
MSKU0054;20FT;35;1;Tanjung Priok;DRY
MSKU0055;40FT;35;1;Tanjung Priok;DRY
MSKU0056;40FT;2;1;Tanjung Priok;DRY
MSKU0057;40FT;4;2;Tanjung Perak;DRY
MSKU0058;40FT;33;2;Tanjung Perak;DRY
MSKU0059;20FT;35;3;Sorong;DRY
MSKU0060;40FT;6;1;Tanjung Priok;DRY
MSKU0061;40FT;32;1;Tanjung Priok;DRY
MSKU0062;20FT;35;2;Tanjung Perak;DRY
MSKU0063;20FT;5;1;Tanjung Priok;DRY
MSKU0064;20FT;35;1;Tanjung Priok;DRY
MSKU0065;20FT;2;2;Tanjung Perak;DRY
MSKU0066;40FT;29;2;Tanjung Perak;DRY
MSKU0067;20FT;3;2;Tanjung Perak;DRY
MSKU0068;20FT;4;1;Tanjung Priok;DRY
MSKU0069;40FT;5;1;Tanjung Priok;DRY
MSKU0070;40FT;5;1;Tanjung Priok;DRY
MSKU0071;40FT;6;1;Tanjung Priok;DRY
MSKU0072;20FT;3;3;Sorong;DRY
MSKU0073;20FT;33;2;Tanjung Perak;DRY
MSKU0074;40FT;3;3;Sorong;DRY
MSKU0075;40FT;4;2;Tanjung Perak;DRY
MSKU0076;20FT;33;1;Tanjung Priok;DRY
MSKU0077;20FT;34;2;Tanjung Perak;DRY
MSKU0078;20FT;32;1;Tanjung Priok;DRY
MSKU0079;40FT;5;2;Tanjung Perak;DRY
MSKU0080;40FT;28;3;Sorong;DRY
MSKU0081;20FT;35;1;Tanjung Priok;DRY
MSKU0082;40FT;6;2;Tanjung Perak;DRY
MSKU0083;20FT;2;1;Tanjung Priok;DRY
MSKU0084;40FT;5;2;Tanjung Perak;DRY
MSKU0085;20FT;5;2;Tanjung Perak;DRY
