Container ID;Size Type;Berat (Ton);Urutan Pelabuhan;Rute Pelabuhan;Tipe Cargo
MSKU0001;20FT;18;2;Tanjung Perak;DRY
MSKU0002;20FT;22;2;Tanjung Perak;DRY
MSKU0003;20FT;19;2;Tanjung Perak;DRY
MSKU0004;20FT;20;2;Tanjung Perak;DRY
MSKU0005;20FT;18;2;Tanjung Perak;DRY
MSKU0006;20FT;19;2;Tanjung Perak;DRY
MSKU0007;20FT;18;2;Tanjung Perak;DRY
MSKU0008;20FT;20;2;Tanjung Perak;DRY
MSKU0009;20FT;19;2;Tanjung Perak;DRY
MSKU0010;20FT;19;2;Tanjung Perak;DRY
MSKU0011;20FT;20;2;Tanjung Perak;DRY
MSKU0012;20FT;22;2;Tanjung Perak;DRY
MSKU0013;20FT;18;2;Tanjung Perak;DRY
MSKU0014;20FT;18;2;Tanjung Perak;DRY
MSKU0015;20FT;18;2;Tanjung Perak;DRY
MSKU0016;20FT;19;2;Tanjung Perak;DRY
MSKU0017;20FT;19;2;Tanjung Perak;DRY
MSKU0018;20FT;21;2;Tanjung Perak;DRY
MSKU0019;20FT;21;2;Tanjung Perak;DRY
MSKU0020;20FT;19;2;Tanjung Perak;DRY
MSKU0021;20FT;21;2;Tanjung Perak;DRY
MSKU0022;20FT;19;2;Tanjung Perak;DRY
MSKU0023;20FT;22;2;Tanjung Perak;DRY
MSKU0024;20FT;20;2;Tanjung Perak;DRY
MSKU0025;20FT;21;2;Tanjung Perak;DRY
MSKU0026;20FT;21;2;Tanjung Perak;DRY
MSKU0027;20FT;20;2;Tanjung Perak;DRY
MSKU0028;20FT;19;2;Tanjung Perak;DRY
MSKU0029;20FT;18;2;Tanjung Perak;DRY
MSKU0030;20FT;20;2;Tanjung Perak;DRY
MSKU0031;20FT;22;2;Tanjung Perak;DRY
MSKU0032;20FT;18;2;Tanjung Perak;DRY
MSKU0033;20FT;21;2;Tanjung Perak;DRY
MSKU0034;20FT;21;2;Tanjung Perak;DRY
MSKU0035;20FT;18;2;Tanjung Perak;DRY
MSKU0036;20FT;20;2;Tanjung Perak;DRY
MSKU0037;20FT;21;2;Tanjung Perak;DRY
MSKU0038;20FT;20;2;Tanjung Perak;DRY
MSKU0039;20FT;22;2;Tanjung Perak;DRY
MSKU0040;20FT;20;2;Tanjung Perak;DRY
MSKU0041;20FT;18;2;Tanjung Perak;DRY
MSKU0042;20FT;22;2;Tanjung Perak;DRY
MSKU0043;20FT;19;2;Tanjung Perak;DRY
MSKU0044;20FT;19;2;Tanjung Perak;DRY
MSKU0045;20FT;19;2;Tanjung Perak;DRY
MSKU0046;20FT;20;2;Tanjung Perak;DRY
MSKU0047;20FT;21;2;Tanjung Perak;DRY
MSKU0048;20FT;21;2;Tanjung Perak;DRY
MSKU0049;20FT;22;2;Tanjung Perak;DRY
MSKU0050;20FT;19;2;Tanjung Perak;DRY
