Container ID;Size Type;Berat (Ton);Urutan Pelabuhan;Rute Pelabuhan;Tipe Cargo
MSKU0001;20FT;21;3;Sorong;Reefer
MSKU0002;20FT;20;2;Tanjung Perak;DG
MSKU0003;20FT;15;2;Tanjung Perak;DRY
MSKU0004;20FT;17;3;Sorong;DRY
MSKU0005;20FT;19;1;Tanjung Priok;DRY
MSKU0006;40FT;20;3;Sorong;DRY
MSKU0007;40FT;25;3;Sorong;DRY
MSKU0008;20FT;22;1;Tanjung Priok;DRY
MSKU0009;40FT;19;3;Sorong;Reefer
MSKU0010;20FT;15;2;Tanjung Perak;DRY
MSKU0011;40FT;18;3;Sorong;DRY
MSKU0012;20FT;19;1;Tanjung Priok;DRY
MSKU0013;20FT;24;3;Sorong;DG
MSKU0014;40FT;17;2;Tanjung Perak;DRY
MSKU0015;20FT;22;1;Tanjung Priok;DG
MSKU0016;20FT;24;2;Tanjung Perak;DG
MSKU0017;20FT;18;2;Tanjung Perak;DRY
MSKU0018;40FT;18;1;Tanjung Priok;DRY
MSKU0019;40FT;20;1;Tanjung Priok;DRY
MSKU0020;40FT;20;3;Sorong;DRY
MSKU0021;20FT;19;1;Tanjung Priok;Reefer
MSKU0022;40FT;19;3;Sorong;DRY
MSKU0023;20FT;18;2;Tanjung Perak;DRY
MSKU0024;40FT;17;2;Tanjung Perak;DRY
MSKU0025;20FT;23;1;Tanjung Priok;DRY
MSKU0026;20FT;22;1;Tanjung Priok;Reefer
MSKU0027;40FT;23;1;Tanjung Priok;DRY
MSKU0028;20FT;18;3;Sorong;DRY
MSKU0029;20FT;16;3;Sorong;DG
MSKU0030;40FT;17;1;Tanjung Priok;DRY
MSKU0031;20FT;24;1;Tanjung Priok;DRY
MSKU0032;40FT;17;1;Tanjung Priok;DRY
MSKU0033;20FT;25;2;Tanjung Perak;DRY
MSKU0034;20FT;22;2;Tanjung Perak;Reefer
MSKU0035;20FT;25;2;Tanjung Perak;DRY
MSKU0036;20FT;23;1;Tanjung Priok;DRY
MSKU0037;40FT;15;2;Tanjung Perak;DRY
MSKU0038;20FT;19;2;Tanjung Perak;Reefer
MSKU0039;40FT;16;1;Tanjung Priok;Reefer
MSKU0040;20FT;22;2;Tanjung Perak;DRY
MSKU0041;20FT;24;2;Tanjung Perak;Reefer
MSKU0042;20FT;16;3;Sorong;DRY
MSKU0043;20FT;18;1;Tanjung Priok;DRY
MSKU0044;20FT;16;2;Tanjung Perak;Reefer
MSKU0045;20FT;23;3;Sorong;DRY
MSKU0046;40FT;22;3;Sorong;DRY
MSKU0047;20FT;23;2;Tanjung Perak;DRY
MSKU0048;40FT;24;2;Tanjung Perak;DRY
MSKU0049;40FT;24;3;Sorong;DRY
MSKU0050;20FT;20;3;Sorong;DRY
MSKU0051;40FT;21;2;Tanjung Perak;Reefer
MSKU0052;20FT;21;2;Tanjung Perak;DRY
MSKU0053;20FT;20;2;Tanjung Perak;DRY
MSKU0054;20FT;23;3;Sorong;DRY
MSKU0055;40FT;20;3;Sorong;DRY
MSKU0056;20FT;20;2;Tanjung Perak;DRY
MSKU0057;40FT;22;1;Tanjung Priok;DRY
MSKU0058;20FT;19;2;Tanjung Perak;DRY
MSKU0059;20FT;17;1;Tanjung Priok;Reefer
MSKU0060;40FT;25;1;Tanjung Priok;DRY
MSKU0061;20FT;25;3;Sorong;DRY
MSKU0062;40FT;24;1;Tanjung Priok;DRY
MSKU0063;20FT;23;3;Sorong;DRY
MSKU0064;20FT;17;3;Sorong;DRY
MSKU0065;20FT;17;2;Tanjung Perak;DRY
MSKU0066;20FT;19;2;Tanjung Perak;DRY
MSKU0067;20FT;22;1;Tanjung Priok;DRY
MSKU0068;40FT;16;1;Tanjung Priok;DG
MSKU0069;40FT;22;1;Tanjung Priok;DRY
MSKU0070;20FT;17;1;Tanjung Priok;DRY
MSKU0071;20FT;18;1;Tanjung Priok;DRY
MSKU0072;40FT;24;2;Tanjung Perak;DRY
MSKU0073;40FT;23;2;Tanjung Perak;DRY
MSKU0074;20FT;17;1;Tanjung Priok;Reefer
MSKU0075;20FT;16;2;Tanjung Perak;DRY
MSKU0076;20FT;21;3;Sorong;DRY
MSKU0077;40FT;20;3;Sorong;DRY
MSKU0078;40FT;15;1;Tanjung Priok;DRY
MSKU0079;20FT;17;3;Sorong;DRY
MSKU0080;20FT;16;2;Tanjung Perak;DRY
MSKU0081;20FT;15;2;Tanjung Perak;DRY
MSKU0082;20FT;20;3;Sorong;DRY
MSKU0083;40FT;20;3;Sorong;DRY
MSKU0084;40FT;20;1;Tanjung Priok;DRY
MSKU0085;40FT;18;2;Tanjung Perak;DRY
MSKU0086;40FT;21;2;Tanjung Perak;DRY
MSKU0087;40FT;15;3;Sorong;DRY
MSKU0088;20FT;20;1;Tanjung Priok;DRY
MSKU0089;40FT;19;1;Tanjung Priok;DRY
MSKU0090;40FT;24;2;Tanjung Perak;DRY
MSKU0091;20FT;23;1;Tanjung Priok;DRY
MSKU0092;20FT;16;1;Tanjung Priok;DRY
MSKU0093;40FT;16;2;Tanjung Perak;DRY
MSKU0094;20FT;25;2;Tanjung Perak;DRY
MSKU0095;40FT;25;1;Tanjung Priok;DRY
MSKU0096;40FT;24;3;Sorong;DRY
MSKU0097;40FT;16;1;Tanjung Priok;DRY
MSKU0098;40FT;16;1;Tanjung Priok;DRY
MSKU0099;20FT;19;3;Sorong;DRY
MSKU0100;40FT;15;3;Sorong;DRY
